Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
St. Andrews Hospital,Due From Affiliates,,,,,
St. Andrews Hospital,Investments in Affiliates,90000,90000,90000,277501,597000
St. Andrews Hospital,Other Non-current Assets,347300,367686,347380,535592,75365
St. Andrews Hospital,"Gross Property, Plant and Equipment",,26962278,27379302,29765986,33590405
St. Andrews Hospital,Accumulated Depreciation,9760989,10866646,11823029,12676195,13945429
St. Andrews Hospital,"Net Property, Plant and Equipment",,17201289,16512656,17942957,20914210
St. Andrews Hospital,Total Unrestricted Assets,25769645,24917714,26930390,30594056,28692443
St. Andrews Hospital,Total Current Liabilities,4084178,3599546,4577157,5031014,4016246
St. Andrews Hospital,Current Long Term Debt,,312718,322698,307935,375857
St. Andrews Hospital,Accounts Payable and Accrued Expenses,1297201,1624657,2400894,2040151,1307689
St. Andrews Hospital,Estimated Third Party Settlements,1246242,191000,965433,1596000,1608000
St. Andrews Hospital,Due to Affiliates,1008017,1241191,902895,949364,340854
St. Andrews Hospital,Other Current Liabilities,220000,220000,,69642,292987
St. Andrews Hospital,Total Non-current Liabilities,9993734,9494660,9099840,12801178,11874653
St. Andrews Hospital,Long Term Debt,9380075,8759763,8439491,12191727,11716724
St. Andrews Hospital,Estimated Third Party Settlements,,,,,
St. Andrews Hospital,Due to Affiliates,,,,,
St. Andrews Hospital,Self Insurance Fund,,,,,
St. Andrews Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
St. Andrews Hospital,Other Non-Current Liabilities,613659,734897,660349,609451,157929
St. Andrews Hospital,Fund Balance Unrestricted,11691733,11823508,13253393,12761864,12801544
St. Andrews Hospital,Total Liabilities & Equity,25769645,24917714,26930390,30594056,28692443
St. Andrews Hospital,Total Restricted Assets,1796619,1550482,1497858,1176092,1117023
St. Andrews Hospital,Cash and Investments,977968,1081709,1175449,991077,991820
St. Andrews Hospital,Receivables,818651,468773,322409,185015,125203
St. Andrews Hospital,Other Assets,,,,,
St. Andrews Hospital,Total Restricted Liabilities and Equity,1796619,1550482,1497858,1176092,1117023
St. Andrews Hospital,Total Restricted Fund Balance,1796619,1550482,1497858,1176092,1117023
St. Andrews Hospital,Total Liabilities,,,,,
St. Andrews Hospital,Temporarily Restricted Net Assets,1171223,853723,751879,521474,482920
St. Andrews Hospital,Permanently Restricted Net Assets,625396,696759,745979,654618,634103
St. Andrews Hospital,Total Gross Patient Service Revenue,,18886899,20943665,23355619,22853589
St. Andrews Hospital,Gross Inpatient Service Revenue,7043688,7422291,7635534,7719463,7956368
St. Andrews Hospital,Gross Outpatient Service Revenue,11843211,13521374,15720085,15134126,15783410
St. Andrews Hospital,Free Care,,,205271,226320,212925
St. Andrews Hospital,Bad Debt,,,,,194619
St. Andrews Hospital,Contractuals,5302577,5968934,6942047,4853212,5920922
St. Andrews Hospital,Changes in Prior Year Estimated/Final Settlements,300000,,-700000,576821,210191
St. Andrews Hospital,Net Patient Service Revenue,12884432,14161427,16261375,16834236,16516123
St. Andrews Hospital,Other Operating Revenue,2672812,3434834,3508697,3266227,3470205
St. Andrews Hospital,Total Operating Revenue,15557244,17596261,19770072,20100463,19986328
St. Andrews Hospital,Total Operating Expenses,16329351,18188748,19508080,20813166,21162608
St. Andrews Hospital,Depreciation and Amortization,1149389,1107509,1068740,1192291,1343293
St. Andrews Hospital,Interest,506078,525173,521117,535609,608928
St. Andrews Hospital,Other Operating Expenses,14673884,16556066,17918223,19085266,19210387
St. Andrews Hospital,Net Operating Income,-772107,-592487,261992,-712703,-1176280
St. Andrews Hospital,Total Non-operating Revenue,538924,614641,789462,201337,308256
St. Andrews Hospital,Total Investment Income,145684,390742,550682,91230,80308
St. Andrews Hospital,Interest and Dividends,141798,151958,226613,184076,82108
St. Andrews Hospital,Realized Gains/Losses on Sales of Securities,3886,238784,324069,-92846,-1800
St. Andrews Hospital,Permanently Impaired Security Writedowns,,,,,
St. Andrews Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
St. Andrews Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
St. Andrews Hospital,Other Non-Operating Revenues,,,,393240,223899
St. Andrews Hospital,Excess of Revenue over Expenses,-233183,22154,1051454,-511366,-868024
St. Andrews Hospital,Extraordinary Gains/Losses,,,,,
St. Andrews Hospital,Total Surplus/Deficit,-233183,22154,1051454,-511366,-868024
St. Andrews Hospital,Total Change in Unrestricted Net Assets,703845,131774,1429886,-677221,39680
St. Andrews Hospital,Net Assets Released for Restrictions,,,797203,315571,243776
St. Andrews Hospital,Unrealized Gains/Losses on Investments,139825,-120451,162356,-537389,59967
St. Andrews Hospital,Minimum Pension Liability Adjustment,,,,,
St. Andrews Hospital,Transfers From/To Affiliates,,,-27700,-21042,754588
St. Andrews Hospital,Mergers,,,,,
St. Andrews Hospital,Consolidations with Support,,,,,
St. Andrews Hospital,Other Changes,,-85500,,,
St. Joseph Hospital,Total Current Assets,25808148,26927714,24284144,20868567,24719647
St. Joseph Hospital,Cash and Investment,13865264,14577028,15142093,11960060,16827139
St. Joseph Hospital,Current Assets Whose Use is Limited,,,,,
St. Joseph Hospital,Net Patient Accounts Receivable,6898105,7122366,7421279,7341153,5672910
St. Joseph Hospital,Due from Affiliates,233357,,9955,,
St. Joseph Hospital,Third Party Settlements Receivable,3530599,3628209,73000,,
St. Joseph Hospital,Other Accounts Receivable,,,,158170,
St. Joseph Hospital,Inventory,698719,844740,832000,472725,1019609
St. Joseph Hospital,Other Current Assets,582104,755371,805817,936459,1199989
St. Joseph Hospital,Total Non-Current Assets,30385628,32426608,32793418,34054151,31762575
St. Joseph Hospital,Trustee Held Investments,1007482,1012412,780864,753400,759137
St. Joseph Hospital,Board Designated and Undesignated Investments,1496651,1700158,2372712,1248420,1539639
St. Joseph Hospital,Due From Affiliates,,,,,
St. Joseph Hospital,Investments in Affiliates,,,,,
St. Joseph Hospital,Other Non-current Assets,1068813,1933792,2159432,5237360,3539137
St. Joseph Hospital,"Gross Property, Plant and Equipment",,58070646,61366407,65103440,66506951
St. Joseph Hospital,Accumulated Depreciation,31257964,33586161,37623030,39691980,42582968
St. Joseph Hospital,"Net Property, Plant and Equipment",,26812682,27780246,27480410,26814971
St. Joseph Hospital,Total Unrestricted Assets,56193776,59354322,57077562,54922718,56482222
St. Joseph Hospital,Total Current Liabilities,9583008,10011539,9864387,15411582,15729714
St. Joseph Hospital,Current Long Term Debt,,2455645,1737364,1435008,2030273
St. Joseph Hospital,Accounts Payable and Accrued Expenses,7127363,8274175,8429379,10255166,7956454
St. Joseph Hospital,Estimated Third Party Settlements,,,,3126143,5597000
St. Joseph Hospital,Due to Affiliates,,,,,
St. Joseph Hospital,Other Current Liabilities,,,,,
St. Joseph Hospital,Total Non-current Liabilities,19931218,18026613,16600595,21896762,20420808
St. Joseph Hospital,Long Term Debt,18458974,16991686,15867245,16599208,16249350
St. Joseph Hospital,Estimated Third Party Settlements,,,,,
St. Joseph Hospital,Due to Affiliates,,,,,
St. Joseph Hospital,Self Insurance Fund,,,,,
St. Joseph Hospital,Accrued Pension and Post Retiree Health Benefits,1472244,1034927,733350,5297554,4171458
St. Joseph Hospital,Other Non-Current Liabilities,,,,,
St. Joseph Hospital,Fund Balance Unrestricted,26679550,31316170,30612580,17614374,20331700
St. Joseph Hospital,Total Liabilities & Equity,56193776,59354322,57077562,54922718,56482222
St. Joseph Hospital,Total Restricted Assets,1875671,2393087,2478838,1869854,2072249
St. Joseph Hospital,Cash and Investments,1875671,2393087,2478838,1869854,2072249
St. Joseph Hospital,Receivables,,,,,
St. Joseph Hospital,Other Assets,,,,,
St. Joseph Hospital,Total Restricted Liabilities and Equity,1875671,2393087,2478838,1869854,2072249
St. Joseph Hospital,Total Restricted Fund Balance,1875671,2393087,2478838,1869854,2072249
St. Joseph Hospital,Total Liabilities,,,,,
St. Joseph Hospital,Temporarily Restricted Net Assets,,,,,
St. Joseph Hospital,Permanently Restricted Net Assets,1875671,2393087,2478838,1869854,2072249
St. Joseph Hospital,Total Gross Patient Service Revenue,,131633443,145080806,145394683,155717327
St. Joseph Hospital,Gross Inpatient Service Revenue,57586686,64914987,60388848,65786755,65610686
St. Joseph Hospital,Gross Outpatient Service Revenue,74046757,80165819,85005835,89930572,98515357
St. Joseph Hospital,Free Care,,,534232,1309931,1198225
St. Joseph Hospital,Bad Debt,,,,,4034685
St. Joseph Hospital,Contractuals,53914619,59817283,61529638,66860863,72122739
St. Joseph Hospital,Changes in Prior Year Estimated/Final Settlements,,-1300000,,,-2000000
St. Joseph Hospital,Net Patient Service Revenue,73149907,82032454,79443367,82193221,86090562
St. Joseph Hospital,Other Operating Revenue,2253307,2247868,1404124,2108131,1965837
St. Joseph Hospital,Total Operating Revenue,75403214,84280322,80847491,84301352,88056399
St. Joseph Hospital,Total Operating Expenses,73021444,80808517,81649774,85155878,83658942
St. Joseph Hospital,Depreciation and Amortization,3669520,3761419,4141999,4269018,4255629
St. Joseph Hospital,Interest,1178969,1106488,1026928,1084058,956429
St. Joseph Hospital,Other Operating Expenses,68172955,75940610,76480847,79802802,78446884
St. Joseph Hospital,Net Operating Income,2381770,3471805,-802283,-854526,4397457
St. Joseph Hospital,Total Non-operating Revenue,1446266,278966,1785360,806731,235645
St. Joseph Hospital,Total Investment Income,1446266,2487982,1785360,806731,235645
St. Joseph Hospital,Interest and Dividends,1446266,2487982,1785360,806731,235645
St. Joseph Hospital,Realized Gains/Losses on Sales of Securities,,,,,
St. Joseph Hospital,Permanently Impaired Security Writedowns,,,,,
St. Joseph Hospital,Gains/Losses on Joint Ventures/Equity Investments,,-2209016,,,
St. Joseph Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
St. Joseph Hospital,Other Non-Operating Revenues,,,,,
St. Joseph Hospital,Excess of Revenue over Expenses,3828036,3750771,983077,-47795,4633102
St. Joseph Hospital,Extraordinary Gains/Losses,,,,,
St. Joseph Hospital,Total Surplus/Deficit,3828036,3750771,983077,-47795,4633102
St. Joseph Hospital,Total Change in Unrestricted Net Assets,1247172,4636620,-1256712,-12998206,2717326
St. Joseph Hospital,Net Assets Released for Restrictions,,,,,
St. Joseph Hospital,Unrealized Gains/Losses on Investments,89509,448532,234349,-3848442,1687085
St. Joseph Hospital,Minimum Pension Liability Adjustment,-860373,437317,301577,-4564204,1126096
St. Joseph Hospital,Transfers From/To Affiliates,-1810000,,-2775715,-4537765,-4728957
St. Joseph Hospital,Mergers,,,,,
St. Joseph Hospital,Consolidations with Support,,,,,
St. Joseph Hospital,Other Changes,,,,,
St. Mary's Regional Medical Center,Total Current Assets,31279945,33591772,37958868,42145000,31865000
St. Mary's Regional Medical Center,Cash and Investment,6580392,5842744,13605113,2678000,5678000
St. Mary's Regional Medical Center,Current Assets Whose Use is Limited,,,,,
St. Mary's Regional Medical Center,Net Patient Accounts Receivable,14082963,10869653,11898608,12006000,8265000
St. Mary's Regional Medical Center,Due from Affiliates,593100,1994972,2877187,10172000,15200000
St. Mary's Regional Medical Center,Third Party Settlements Receivable,7072463,11839151,6926534,15202000,
St. Mary's Regional Medical Center,Other Accounts Receivable,,,,,
St. Mary's Regional Medical Center,Inventory,1343246,1361884,1326416,1303000,1276000
St. Mary's Regional Medical Center,Other Current Assets,1607781,1683368,1325010,784000,1446000
St. Mary's Regional Medical Center,Total Non-Current Assets,55955275,55884746,64397887,59752000,103697000
St. Mary's Regional Medical Center,Trustee Held Investments,1018227,1090903,7384013,4921000,23642000
St. Mary's Regional Medical Center,Board Designated and Undesignated Investments,20550259,22313281,21710091,16359000,23510000
St. Mary's Regional Medical Center,Due From Affiliates,1365318,1253741,3327353,2719000,
St. Mary's Regional Medical Center,Investments in Affiliates,1549956,1641300,1870331,2133000,2396000
St. Mary's Regional Medical Center,Other Non-current Assets,333195,309922,1760390,1389000,16589000
St. Mary's Regional Medical Center,"Gross Property, Plant and Equipment",,67433940,61350009,62326537,68278000
St. Mary's Regional Medical Center,Accumulated Depreciation,36295620,32074410,33980828,36047000,40088000
St. Mary's Regional Medical Center,"Net Property, Plant and Equipment",,31138320,29275599,28345709,32231000
St. Mary's Regional Medical Center,Total Unrestricted Assets,87235220,89476518,102356755,101897000,135562000
St. Mary's Regional Medical Center,Total Current Liabilities,7467979,8037319,9901489,9698000,9044000
St. Mary's Regional Medical Center,Current Long Term Debt,,897158,1051325,1044184,1168000
St. Mary's Regional Medical Center,Accounts Payable and Accrued Expenses,6446044,6984654,8615965,8276000,7277000
St. Mary's Regional Medical Center,Estimated Third Party Settlements,,,,,244000
St. Mary's Regional Medical Center,Due to Affiliates,,,,,
St. Mary's Regional Medical Center,Other Current Liabilities,124777,1340,241340,254000,
St. Mary's Regional Medical Center,Total Non-current Liabilities,23656404,22595332,27932927,27638000,49372000
St. Mary's Regional Medical Center,Long Term Debt,23492934,22427158,27759898,27460000,48843000
St. Mary's Regional Medical Center,Estimated Third Party Settlements,,,,,
St. Mary's Regional Medical Center,Due to Affiliates,,,,,
St. Mary's Regional Medical Center,Self Insurance Fund,,,,,
St. Mary's Regional Medical Center,Accrued Pension and Post Retiree Health Benefits,,,,,
